stylecode,Ambermark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,CharmMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,FabulousMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型,GlamourMark,试穿者姓名,身高（厘米）,体重（公斤）,胸围（厘米）,维密试穿尺码,上身效果,面料,版型
11064561,11064561Amber,Amber,157,46,76,XS,偏长,,,11064561Charm,Charm,163,53,80,S,偏长,,,11064561Fabulous,Fabulous,169,63,91,M,合身,,,11064561Glamour,Glamour,165,72,100,L,合身,,
11118658,11118658Amber,Amber,157,46,76,XS,偏长,薄款,宽松,11118658Charm,Charm,163,53,80,S,偏长,薄款,宽松,11118658Fabulous,Fabulous,169,63,91,M,偏长,薄款,宽松,11118658Glamour,Glamour,165,72,100,L,偏长,薄款,宽松
11118662,11118662Amber,Amber,157,46,76,XS,宽松,适中,宽松,11118662Charm,Charm,163,53,80,XS,合身,适中,宽松,11118662Fabulous,Fabulous,169,63,91,S,合身,适中,宽松,11118662Glamour,Glamour,165,72,100,XS,合身,适中,宽松
11119042,11119042Amber,Amber,157,46,76,XS/S,合身,薄款,适中,11119042Charm,Charm,163,53,80,XS/S,合身,薄款,适中,11119042Fabulous,Fabulous,169,63,91,M/L,合身,薄款,适中,11119042Glamour,Glamour,165,72,100,M/L,合身,薄款,适中
11119045,11119045Amber,Amber,157,46,76,XS,合身,薄款,适中,11119045Charm,Charm,163,53,80,S,合身,薄款,适中,11119045Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11119045Glamour,Glamour,165,72,100,L,合身,薄款,适中
11119136,11119136Amber,Amber,157,46,76,XS,合身,薄款,适中,11119136Charm,Charm,163,53,80,S,合身,薄款,适中,11119136Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11119136Glamour,Glamour,165,72,100,L,合身,薄款,适中
11119821,11119821Amber,Amber,157,46,76,XS,合身,薄款,适中,11119821Charm,Charm,163,53,80,S,合身,薄款,适中,11119821Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11119821Glamour,Glamour,165,72,100,L,合身,薄款,适中
11120520,11120520Amber,Amber,157,46,76,XS,宽松,薄款,适中,11120520Charm,Charm,163,53,80,XS,合身,薄款,适中,11120520Fabulous,Fabulous,169,63,91,S,合身,薄款,适中,11120520Glamour,Glamour,165,72,100,M,合身,薄款,适中
11120604,11120604Amber,Amber,157,46,76,XS,合身,薄款,适中,11120604Charm,Charm,163,53,80,S,合身,薄款,适中,11120604Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11120604Glamour,Glamour,165,72,100,L,合身,薄款,适中
11121438,11121438Amber,Amber,157,46,76,XS,偏长,,,11121438Charm,Charm,163,53,80,XS,偏长,,,11121438Fabulous,Fabulous,169,63,91,S,偏长,,,11121438Glamour,Glamour,165,72,100,M,偏长,,
11121449,11121449Amber,Amber,157,46,76,XS,合身,薄款,适中,11121449Charm,Charm,163,53,80,S,合身,薄款,适中,11121449Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11121449Glamour,Glamour,165,72,100,L,合身,薄款,适中
11121450,11121450Amber,Amber,157,46,76,XS,合身,薄款,适中,11121450Charm,Charm,163,53,80,S,合身,薄款,适中,11121450Fabulous,Fabulous,169,63,91,M,合身,薄款,适中,11121450Glamour,Glamour,165,72,100,L,合身,薄款,适中
